[2025-12-02 22:27:08] [INFO    ] discord.client: logging in using static token
[2025-12-02 22:27:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-02 22:27:08] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-02 22:27:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1420827508441612299', 'username': 'type-wars', 'avatar': 'f466fdd6e76b2c3ab3b84eb9598f7b57', 'discriminator': '0754', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'c1ec3eea8e0d18692f18e191159c22c6', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-02 22:27:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-02 22:27:09] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-02 22:27:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1420827508441612299', 'name': 'type-wars', 'icon': 'f466fdd6e76b2c3ab3b84eb9598f7b57', 'description': '‘Type War’ is a Discord bot designed to bring typing-based games to your Discord server. The bot includes an original game, ‘Type Wars’, as well as hangman, rock paper scissors, and more to come.', 'type': None, 'bot': {'id': '1420827508441612299', 'username': 'type-wars', 'avatar': 'f466fdd6e76b2c3ab3b84eb9598f7b57', 'discriminator': '0754', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'c1ec3eea8e0d18692f18e191159c22c6', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7cf3e852a2946729c41fc98437aad8644beb2560d3c96e3ecfefafbab7f32fa6', 'flags': 27820032, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '574029302899933204', 'username': 'missmemerat', 'avatar': 'bd7e854b1e0f4974689ca1a9d6e4392e', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 10933149, 'global_name': '🐀MissMemeRhat🐀', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#a6d39d', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-12-02 22:27:09] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-12-02 22:27:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-x9mt",{"micros":0.0}]']}}
[2025-12-02 22:27:09] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-12-02 22:27:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
